Feature,Importance
src_ip,0.0068498526936026935
dst_ip,0.0
src_port,0.32472754930254927
dst_port,0.17902615053597196
protocol_TCP,0.07941801948051946
protocol_UDP,0.0720984157046657
protocol_nan,0.0
signature_Brute Force Attempt,0.03505238696488697
signature_DNS Amplification,0.02156085858585858
signature_Normal Traffic,0.020455206830206824
signature_RDP Attack,0.0
signature_TEST,0.016331439393939395
signature_Telnet connection,0.046459500618429204
signature_Test,0.03616721766989626
signature_test,0.061590356799285366
signature_nan,0.10026304542018831
